"STUDENT","SESSION","DATA.POINT","PHASE"
1,1,7,0
1,2,9,0
1,3,8,0
1,4,6,0
1,5,7,0
1,6,4,0
1,7,5,0
1,8,10,0
1,9,2,1
1,10,0,1
1,11,1,1
1,12,0,1
1,13,0,1
2,1,8,0
2,2,7,0
2,3,7,0
2,4,8,0
2,5,6,0
2,6,7,0
2,7,9,0
2,8,3,1
2,9,1,1
2,10,0,1
2,11,4,1
2,12,0,1
2,13,0,1
3,1,10,0
3,2,6,0
3,3,6,0
3,4,9,0
3,5,6,0
3,6,10,0
3,7,0,1
3,8,1,1
3,9,1,1
3,10,0,1
3,11,0,1
4,1,10,0
4,2,6,0
4,3,4,0
4,4,8,0
4,5,8,0
4,6,9,0
4,7,10,0
4,8,3,1
4,9,6,1
4,10,0,1
4,11,0,1
4,12,1,1
5,1,10,0
5,2,6,0
5,3,9,0
5,4,4,0
5,5,5,0
5,6,9,0
5,7,6,0
5,8,10,0
5,9,9,0
5,10,9,0
5,11,4,1
5,12,3,1
5,13,4,1
5,14,4,1
5,15,1,1
5,16,0,1
6,1,7,0
6,2,4,0
6,3,5,0
6,4,7,0
6,5,8,0
6,6,4,0
6,7,8,0
6,8,8,0
6,9,0,1
6,10,0,1
6,11,0,1
6,12,0,1
7,1,6,0
7,2,6,0
7,3,8,0
7,4,9,0
7,5,10,0
7,6,9,0
7,7,8,0
7,8,0,1
7,9,1,1
7,10,2,1
7,11,1,1
7,12,1,1
7,13,0,1
8,1,8,0
8,2,1,0
8,3,4,0
8,4,6,0
8,5,6,0
8,6,7,0
8,7,8,0
8,8,8,0
8,9,0,0
8,10,2,0
8,11,0,1
8,12,0,1
8,13,0,1
8,14,2,1
8,15,6,1
9,1,9,0
9,2,5,0
9,3,4,0
9,4,2,0
9,5,3,0
9,6,10,0
9,7,4,0
9,8,10,0
9,9,8,0
9,10,8,0
9,11,0,1
9,12,2,1
9,13,1,1
9,14,3,1
9,15,0,1
9,16,0,1
